date,user,content,url
2020-06-22 13:02:11+00:00,CuritibaTI,"Você já cadastrou seu currículo lá no Portal Curitiba TI? Não perde tempo hein. 💻🏃‍♀️ ⠀ ➡Lá tem mais de 25 vagas para desenvolvedor esperando por você! ⠀ Pra conferir essas e várias outras, é só clicar aqui:  ⠀ #vagasdev #vagascuritiba #dev #vagasdeti ",https://twitter.com/CuritibaTI/status/1275051457448943618
2020-06-03 18:35:46+00:00,CuritibaTI,"É vaga para desenvolvedor que você quer  No Portal Curitiba TI tem!  Tem inclusive oportunidades na modalidade home office! 🏠💻   Então, prepara o currículo e clica aqui ➡  pra conferir todas as vagas.   #vagasdev #vagascuritiba #dev #vagasdeti ",https://twitter.com/CuritibaTI/status/1268250038360309766
2020-03-02 21:08:41+00:00,AMcomSistemas,Março começou com várias oportunidades! 👉 Quer fazer parte dessa equipe de Makers? Acesse e confira essas e outras vagas:  #temosvagas #hiring #vagassc #vagasdev ,https://twitter.com/AMcomSistemas/status/1234586448885452800
2020-02-28 17:55:57+00:00,AMcomSistemas,Confira nossas oportunidades!  #temosvagas #vagasti #vagasdev #vagasblumenau #vagassp #vagassaopaulo #hiring #HiringNow,https://twitter.com/AMcomSistemas/status/1233450783250747397
2020-02-27 20:07:55+00:00,Alysson_Ferreir,Já pensou em trabalhar na multinacional brasileira mais internacionalizada que está entre as 100 maiores empresas de TI do mundo?  Buscamos Analista Desenvolvedor Delphi SR - Belo Horizonte MG.  #Stefanini #StefaniniVagas #VagasDEV #VagasBH #VempraStefani…,https://twitter.com/Alysson_Ferreir/status/1233121605305409539
2020-02-14 14:01:22+00:00,kryptus1,Temos vagas aqui na #Kryptus! Entra no nosso site e se candidate!  #Vagas #Vagasdesenvolvimento #vagasdev #Desenvolvimento #Criptografia #Cibersegurança ,https://twitter.com/kryptus1/status/1228318318056165385
2020-02-14 12:41:56+00:00,Alysson_Ferreir,Você é um desenvolvedor com foco em análise e melhoria de resultados e processos? Gosta de liderar? Temos vagas de DESENVOLVEDOR SR em Aracaju-SE  #vagas #oportunidades #vagasdev #stefaninivagas #stefanini #dotnet ,https://twitter.com/Alysson_Ferreir/status/1228298326287753216
2020-02-04 19:14:51+00:00,AMcomSistemas,Desenvolvedores procurando oportunidade em um projeto global? A Amanda tem um recado! Quer saber mais?  #vagas #vagassc #vagasdev #hiring #HiringNow #tecnologia #amcom #blumenau #java ,https://twitter.com/AMcomSistemas/status/1224773330315640832
2020-01-28 19:45:13+00:00,AMcomSistemas,"🤖 Robôs dominando a humanidade? Isso é só na ficção, lá em Hollywood. A verdadeira inteligência artificial já faz parte do nosso dia a dia e pode ser grande aliada! Nossa forma de recrutar evoluiu. Quer ver?  #hiring #vagassc #vagasdev ",https://twitter.com/AMcomSistemas/status/1222244255785275395
2020-01-14 22:24:34+00:00,aptasistemas,#VagasDev na APTA  ! ,https://twitter.com/aptasistemas/status/1217210928820715525
2020-01-07 16:03:00+00:00,netcarreiras,#Oportunidade de #emprego #vagas para #Desenvolvedores #C #CPP #Qt #Firebird #QML #Linux #embarcados #CLTFull #vagasti #empregosti #vagasdev #techjobs #techhiring ,https://twitter.com/netcarreiras/status/1214578187218407430
2020-01-02 19:48:12+00:00,netcarreiras,#Oportunidade de #emprego para #Desenvolvedor #PHP #Pleno #mysql #AWS #angular #vagasTI #vagasDev #devJobs #empregos ,https://twitter.com/netcarreiras/status/1212822924408823809
2019-11-08 19:36:37+00:00,netcarreiras,#Oportunidade de #emprego para #Desenvolvedor #BackEnd #Sênior #dotnet #mvc #mysql #rest #soap #ecommerce #apps #vagasdev ,https://twitter.com/netcarreiras/status/1192888673630597123
2019-10-04 22:45:01+00:00,geekhunterbr,Você programando na startup que está revolucionando o setor de negociação de energia brasileiro... já pensou? É a sua chance! 👉  #vagasdeti #geekvagas #vagasdev,https://twitter.com/geekhunterbr/status/1180252510621184002
2019-09-30 21:36:08+00:00,geekhunterbr,"Vaga para Desenvolvedor Full-Stack Sênior Remoto? 🙋 Sim, nós temos 👇  #geekvagas #vagasdev #trabalhoremoto",https://twitter.com/geekhunterbr/status/1178785625979400192
2019-09-30 13:01:29+00:00,geekhunterbr,Você programando na startup que está revolucionando o setor de negociação de energia brasileiro... já pensou? É a sua chance! 👉  #vagasdeti #geekvagas #vagasdev,https://twitter.com/geekhunterbr/status/1178656110053662722
2019-08-05 14:56:41+00:00,vhsys,Atenção #developers! Quer trabalhar numa das empresas do Brasil que mais crescem? Cadastre-se  #vagas #dev #desenvolvimento #vagasdev #startups #tecnologia       ,https://twitter.com/vhsys/status/1158391381464899585
2019-07-22 15:16:32+00:00,itseduvieira,A empresa Styme está contratando! Oportunidade de Web Developer Pleno em São Paulo capital.    cc:       #vagas  #vagasdev #vagasti #vagassp,https://twitter.com/itseduvieira/status/1153322947144224770
2019-07-22 15:16:00+00:00,itseduvieira,A empresa Styme está contratando! Oportunidade de Backend Developer Sênior em São Paulo capital.    cc:       #vagas  #vagasdev #vagasti #vagassp,https://twitter.com/itseduvieira/status/1153322812540694528
2019-03-14 11:09:02+00:00,thebridgejobs,👤 Headhunter: TI e Digital  👤 São Paulo ou Remoto   👉 Envie CV e portfólio para:   #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1106150236760739840
2019-02-07 18:55:11+00:00,thebridgejobs,UX / UI Designer Pleno - Alphaville/Pinheiros - São Paulo     ❓Você busca uma carreira desafiadora? ❗️Venha empreender com a gente!  👉 Envie CV:   #ux #ui #interface #uxdesign #uidesign #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1093583974495076352
2019-01-19 11:54:02+00:00,thebridgejobs,Design Thinker/UX Pleno-Sênior - Experiências Phygital - Osasco - São Paulo  Envie CV e portfólio:   #uxdesign #phygital #designthinking #design #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1086592617243119617
2019-01-18 20:51:38+00:00,thebridgejobs,Analista de Testes (QA) - São Paulo - SP  Envie CV:   #qa #jira #testrail #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1086365520750931968
2019-01-18 17:05:07+00:00,thebridgejobs,Planner Digital Pleno / Sênior - Rio de Janeiro - RJ Envie CV para:   #plannerdigital #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1086308516149846016
2019-01-11 00:01:04+00:00,thebridgejobs,Consultor de Sistemas OSS - São Paulo  Envie CV para:   #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1083514091505942535
2019-01-08 23:33:02+00:00,thebridgejobs,Desenvolvedor URA (Senior e Consultor) - São Paulo  Envie CV e portfólio para:   #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1082782258107420674
2019-01-08 21:31:46+00:00,thebridgejobs,Consultor de Sistemas Integração - São Paulo  Envie CV e portfólio para:   #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1082751740661907458
2018-12-28 20:10:29+00:00,thebridgejobs,Front End Developer - São Paulo - SP  Envie CV e portfólio para:   #FrontEnd #devjobs #thebridge #webuildyoucross #vagasdev ,https://twitter.com/thebridgejobs/status/1078745018087718912
2018-07-03 17:59:16+00:00,paulocholla,mais #vagas aqui na BlendMobi! essa é de NodeJS. vem trabalhar aqui na minha equipe e dar vida a projetos incríveis! ;) #nodejs #vagasdev ,https://twitter.com/paulocholla/status/1014206959808114688
2014-10-15 06:50:34+00:00,mellobo,"Acho que vou aproveitar a insonia, e arrumar meu currículo. #ProcurandoNovoEmprego #emprego #VagasTI #VagasJava #VagasDev",https://twitter.com/mellobo/status/522278339848208384
